OCANumber,IncidentFromDate,IncidentFromTime,IncidentToDate,IncidentToTime,OffenseCode,Offense Description,CaseStatus,CaseDisposition,LocationCode,PatrolZone,LocationLandmark,LocationStreetNumber,LocationDirectional,LocationStreet,LocationLatitude,LocationLongitude,CreatedSource
17010006,1/4/2017,2:10:00,NULL,NULL,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z1,Ken Byers Tennis Complex,960,NULL,"Fowler Street, NW",33.77788622,-84.39246794,1
17010026,1/9/2017,14:52:00,1/9/2017,14:52:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,NULL,Z2,Library   77   Z2,704,NULL,Cherry Street NW,33.77431732,-84.39572383,1
17010168,1/27/2017,23:32:00,1/27/2017,23:40:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAMRES,Z2,NAA East,120,NULL,North Avenue NW,NULL,NULL,1
17020281,2/13/2017,6:15:00,NULL,NULL,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z1,Engineered Biosystems Building (EBB)   195   Z1,950,NULL,Atlantic Drive NW,33.780819,-84.397985,1
17020309,2/17/2017,2:56:00,2/17/2017,3:19:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z2,Fifth Street @ Techwood Drive NW,NULL,NULL,NULL,33.776916,-84.39212,1
17020329,2/18/2017,22:34:00,2/18/2017,22:56:00,5707,Criminal Trespass,Closed/Cleared,Prosecution Declined,ONCAM,Z2,Alumni-Faculty House,190,NULL,"North Avenue, NW",33.7710217,-84.39350159,1
17020349,2/21/2017,5:35:00,2/21/2017,5:35:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z1,Ford Envir. Science & Technology,311,NULL,"Ferst Drive, NW",33.77889662,-84.39603609,1
17020381,2/24/2017,18:24:00,2/24/2017,19:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z1,Molecular Science & Engineering Building,901,NULL,Atlantic Drive NW,33.7798386,-84.39669326,1
17030422,3/3/2017,15:41:00,3/3/2017,18:29:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z3,Student Services Building,353,NULL,Ferst Drive NW,33.77435044,-84.39955247,1
17030442,3/6/2017,2:29:00,3/6/2017,3:07:00,5314,Loitering Violation,Closed/Cleared,Cleared by Arrest,ONCAM,Z2,NULL,NULL,NULL,Fifth Street @ Techwood Drive NW,NULL,NULL,1
17030488,3/12/2017,6:30:00,3/12/2017,8:11:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,NONCAM,Z4,Rear of unit 233,9157,NULL,Tara Blvd,NULL,NULL,1
17030550,3/19/2017,18:45:00,3/19/2017,20:00:00,3562,Marijuana � Possession of,Closed/Cleared,Cleared by Arrest,NONCLERY,Z4,"North Avenue, NW @ State Street, NW",NULL,NULL,NULL,33.771401,-84.398997,1
17010007,1/4/2017,8:52:00,1/4/2017,9:48:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z4,Paper Tricentennial Building   129   Z4,500,NULL,Tenth Street NW,33.78097791,-84.40454543,1
17010053,1/12/2017,8:00:00,1/12/2017,12:30:00,9999,Non-Crime (not reported to state),Further Investigation,NULL,ONCAM,Z2,Brittain Dining Hall,649,NULL,"Techwood Drive, NW",NULL,NULL,1
17010068,1/13/2017,14:51:00,1/13/2017,NULL,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z2,Library   77   Z2,704,NULL,"Cherry Street, NW",33.77431732,-84.39572383,1
17010073,1/12/2017,14:15:00,1/13/2017,15:45:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z4,Student Health Center,740,NULL,"Ferst Drive, NW",33.77483366,-84.40311079,1
17010101,1/17/2017,14:50:00,1/17/2017,14:50:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z2,Library   77   Z2,704,NULL,Cherry Street NW,33.77431732,-84.39572383,1
17010121,1/20/2017,17:44:00,1/20/2017,18:45:00,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,PUB,Z2,"Techwood Drive, NW @ Bobby Dodd Way, NW",NULL,NULL,NULL,33.773942,-84.392003,1
17010141,1/20/2017,22:00:00,1/23/2017,8:30:00,2902,Damage to Property � Private,Closed/Cleared,NULL,ONCAMRES,Z2,North Avenue Apartments,120,NULL,"North Avenue, NW",33.76952,-84.39097,1
17020242,2/3/2017,10:50:00,2/4/2017,11:30:00,2317,Larceny � Bicycle,Inactive,NULL,ONCAM,Z3,College of Computing,801,NULL,"Atlantic Drive, NW",33.7772881,-84.3900368,1
17020277,2/11/2017,23:30:00,2/12/2017,1:40:00,9999F,NULL,Closed/Cleared,Prosecution Declined,ONCAM,Z3,Klaus Advanced Computing Building,266,NULL,Ferst Drive NW,33.77716232,-84.39618136,1
17020299,2/15/2017,16:33:00,NULL,NULL,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z2,Success Center,219,NULL,Uncle Heinie Way NW,33.77244111,-84.39395201,1
17020303,2/16/2017,9:00:00,2/16/2017,9:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z1,Landon Learning Center,1015,NULL,"Tumlin Street, NW",33.78243133,-84.40026658,1
17020323,2/18/2017,10:30:00,2/18/2017,11:22:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z2,Old Civil Engineering Bldg  58  Z2,221,NULL,Bobby Dodd Way,33.77379,-84.39206,1
17010016,1/5/2017,20:00:00,1/5/2017,20:45:00,8399,NULL,Closed/Cleared,Prosecution Declined,ONCAMRES,Z1,Center Street Apartments,939,NULL,Hemphill Avenue NW,33.78005124,-84.40198786,1
17010055,1/12/2017,17:30:00,1/12/2017,18:20:00,2308,Larceny � From Building,Closed/Cleared,Unfounded,ONCAM,Z4,Campus Recreation Center,750,NULL,"Ferst Drive, NW",33.77546401,-84.40349901,1
17010075,1/13/2017,15:48:00,1/13/2017,16:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,NONCAM,Z2,NULL,NULL,NULL,"North Avenue, NW and Cherry Street, NW",NULL,NULL,1
17010092,1/15/2017,4:02:00,1/15/2017,4:15:00,9999,Non-Crime (not reported to state),Further Investigation,NULL,NONCLERY,Z3,Holder Construction Site,864,NULL,"Spring Street, NW",NULL,NULL,1
17020192,1/12/2017,12:00:00,1/26/2017,12:00:00,5309,Harassing Communication,Closed/Cleared,Prosecution Declined,NONCAM,Z1,NULL,2020,NULL,26th Street  NW,NULL,NULL,1
17020238,2/7/2017,20:00:00,NULL,NULL,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z3,Student Center,351,NULL,Ferst Drive NW,33.77413608,-84.39881802,1
17020301,2/16/2017,8:09:00,2/16/2017,8:51:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAMRES,Z2,North Avenue Apartments,120,NULL,"North Avenue, NW",33.77005,-84.39162,1
17020318,2/14/2017,16:00:00,2/16/2017,21:00:00,5707,Criminal Trespass,Further Investigation,NULL,ONCAM,Z1,Institute of Paper Science 2 (IPST2),575,NULL,Fourteenth Street NW,33.78679319,-84.40621454,1
17020319,2/18/2017,0:45:00,2/18/2017,1:01:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAMRES,Z2,Stein House,733,NULL,Techwood Drive NW,33.775285,-84.3916,1
17020364,2/22/2017,16:28:00,2/22/2017,16:45:00,9999,Non-Crime (not reported to state),Further Investigation,NULL,ONCAM,Z2,Success Center,219,NULL,Uncle Heinie Way NW,33.77244111,-84.39395201,1
17020401,2/25/2017,15:19:00,2/25/2017,15:30:00,2308,Larceny � From Building,Inactive,NULL,ONCAM,Z4,Campus Recreation Center,750,NULL,Ferst Drive NW,33.77546401,-84.40349901,1
17030407,3/1/2017,10:30:00,3/1/2017,11:30:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z2,O'Keefe Building,151,NULL,"Sixth Street, NW",33.7738,-84.3945,1
17010111,1/18/2017,23:25:00,1/18/2017,23:50:00,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,PUB,Z2,NULL,NULL,NULL,NULL,NULL,NULL,1
17010125,1/21/2017,12:26:00,1/21/2017,12:26:00,9999,Non-Crime (not reported to state),Further Investigation,NULL,ONCAMRES,Z4,Eighth Street Apartments West,555,NULL,Eighth Street NW,33.78012873,-84.40513865,1
17010136,1/23/2017,0:42:00,1/23/2017,2:30:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z4,Campus Recreation Center,750,NULL,Ferst Drive NW,NULL,NULL,1
17010139,1/23/2017,17:16:00,1/23/2017,19:15:00,2308,Larceny � From Building,Inactive,NULL,ONCAM,Z4,Campus Recreation Center,750,NULL,Ferst Drive NW,33.77546401,-84.40349901,1
17010145,1/24/2017,14:36:00,1/24/2017,14:36:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z2,Library   77   Z2,704,NULL,Cherry Street NW,33.77431732,-84.39572383,1
17010153,1/25/2017,18:40:00,1/25/2017,18:54:00,5499,Traffic Offense (describe offense),Closed/Cleared,Prosecution Declined,PUB,Z4,"Tenth Street Street, NW at Hemphill Avenue, NW",NULL,NULL,NULL,33.781552,-84.404199,1
17010160,1/26/2017,20:04:00,1/26/2017,20:33:00,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,PUB,Z4,"Northside Drive, NW @ Marietta Street, NW",NULL,NULL,NULL,NULL,NULL,1
17010162,1/21/2017,NULL,1/27/2017,14:18:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z3,Boggs Building,770,NULL,"State Street, NW",33.77548051,-84.39974466,1
17010173,1/28/2017,7:30:00,1/28/2017,7:45:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAMRES,Z4,Zbar Residence Hall (Sixth St. East Apts.)  65  Z4,501,NULL,"Sixth Street, NW",33.777707,-84.404826,1
17020204,2/2/2017,17:20:00,NULL,NULL,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z2,Barnes and Noble Bookstore 172  Z2,48,NULL,Fifth Street NW,33.77668,-84.38863,1
17020212,2/3/2017,12:20:00,NULL,NULL,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,PUB,NULL,Northside Drive @ 10th Street,NULL,NULL,NULL,33.77895641,-84.40131466,1
17020224,2/5/2017,1:47:00,2/5/2017,3:05:00,5707,Criminal Trespass,Closed/Cleared,Cleared by Arrest,ONCAM,Z2,Waffle House,66,NULL,"Fifth Street, NW",33.776725,-84.389468,1
17020343,2/17/2017,4:30:00,2/20/2017,8:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAMRES,Z2,North Avenue East  Apartments  191  Z2,120,NULL,"North Avenue, NW",33.77011984,-84.39135352,1
17020376,2/24/2017,11:29:00,2/24/2017,11:29:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z2,Success Center   31   Z2,219,NULL,Uncle Heinie Way NW,33.77244111,-84.39395201,1
17020397,2/27/2017,14:28:00,2/27/2017,14:28:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z2,Library   77   Z2,704,NULL,Cherry Street NW,33.77431732,-84.39572383,1
17030436,3/5/2017,17:40:00,3/5/2017,17:50:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAMRES,Z3,Pi Kappa Phi Fraternity,220,NULL,"Ferst Drive, NW",33.77667396,-84.39430485,1
17030439,3/5/2017,22:50:00,3/5/2017,22:54:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z2,Bobby Dodd Stadium,155,NULL,North Avenue NW,NULL,NULL,1
17030468,3/9/2017,3:18:00,3/9/2017,3:28:00,1316,Terroristic Threats/Intimidation,Closed/Cleared,Prosecution Declined,NONCAM,Z3,Alpha Tau Omega Fraternity,205,NULL,Fourth Street NW,NULL,NULL,1
17030553,3/20/2017,0:45:00,3/20/2017,1:32:00,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,ONCAM,Z2,NULL,NULL,NULL,NULL,33.77673,-84.3952623,1
17030573,3/23/2017,20:00:00,3/23/2017,20:35:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z3,Campus Recreation Center,750,NULL,Ferst Drive NW,33.77546401,-84.40349901,1
17030576,3/23/2017,9:00:00,3/23/2017,21:00:00,2317,Larceny � Bicycle,Closed/Cleared,Cleared by Arrest,ONCAM,Z1,UA Whitaker Biomedical Engineering,313,NULL,Ferst Drive NW,33.77848528,-84.39682437,1
17030595,3/24/2017,12:00:00,3/26/2017,16:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z4,Curran Street Parking Deck,875,NULL,Curran Street NW,33.77916113,-84.40553266,1
17030612,3/30/2017,6:00:00,3/30/2017,9:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z1,Georgia Tech Police Deptment,879,NULL,"Hemphill Avenue, NW",33.77895641,-84.40131466,1
17010065,1/13/2017,11:30:00,1/13/2017,12:00:00,2205,Burglary � No Forced Entry �NonResidence,Closed/Cleared,Cleared by Arrest,ONCAM,Z2,Scheller College of Business   172   Z2,800,NULL,West Peachtree Street NW,33.77628053,-84.38801865,1
17010098,1/17/2017,11:20:00,1/17/2017,11:20:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z2,North Avenue @ Techwood Drive  Z2,NULL,NULL,North Avenue @ Techwood Drive NW,33.77131,-84.392067,1
17010184,1/27/2017,12:00:00,1/27/2017,18:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z1,Baker Building,925,NULL,Dalney Street NW,33.78001343,-84.39950258,1
17020208,2/3/2017,3:34:00,2/3/2017,4:02:00,5499,Traffic Offense (describe offense),Closed/Cleared,Prosecution Declined,NONCLERY,Z1,Texaco,NULL,NULL,NULL,NULL,NULL,1
17020216,2/3/2017,22:25:00,2/3/2017,22:35:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAMRES,Z1,Hefner & Armstrong Lot,510,NULL,"Eighth Street, NW",NULL,NULL,1
17020228,2/6/2017,0:20:00,2/6/2017,0:50:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,PUB,Z2,Smith Residence Hall,630,NULL,"Williams Street, NW",33.77170733,-84.39125155,1
17020248,2/8/2017,19:35:00,2/8/2017,19:40:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z1,Manufacturing Rel. Disc. Complex (MRDC),801,NULL,Ferst Drive NW,NULL,-84.40050269,1
17020253,2/9/2017,12:15:00,2/9/2017,13:10:00,1313,Simple Assault/Battery,Closed/Cleared,Cleared by Arrest,ONCAM,Z2,Montgomery Knight Building  (SST II)   101   Z2,270,NULL,"Ferst Drive, NW",33.77191256,-84.39607312,1
17020254,2/8/2017,13:17:00,2/8/2017,16:00:00,2317,Larceny � Bicycle,Closed/Cleared,Cleared by Arrest,ONCAM,Z3,College of Architecture- East Wing   75   Z3,245,NULL,Fourth Street NW,33.77608578,-84.39608548,1
17020391,2/22/2017,18:30:00,2/23/2017,12:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAMRES,Z2,Smith Residence Hall,630,NULL,Williams Street NW,NULL,NULL,1
17020400,2/28/2017,14:45:00,2/28/2017,14:46:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z1,Beringause Building,879,NULL,"Hemphill Avenue, NW",33.77895641,-84.40131466,1
17030552,3/17/2017,16:00:00,3/17/2017,16:30:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,NONCAM,OFFCAM,Chipotle,2020,NULL,Howell Mill Road NW,NULL,NULL,1
17030570,3/23/2017,11:53:00,NULL,NULL,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z2,Centergy One/GCATT  176  Z2,75,NULL,"Fifth Street, NW",33.77756772,-84.38929801,1
17030572,3/23/2017,15:49:00,3/23/2017,16:15:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,PUB,Z4,"Northside Drive, NW @ Larkin Street, NW",NULL,NULL,NULL,NULL,NULL,1
17030588,3/25/2017,20:15:00,NULL,NULL,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,NONCAM,OFFCAM,"North Avenue, NW / State Street, NW",NULL,NULL,NULL,NULL,NULL,1
17030597,3/28/2017,1:15:00,3/28/2017,1:50:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAMRES,Z2,NAA North,120,NULL,"North Avenue, NW",NULL,NULL,1
17040656,4/4/2017,23:31:00,4/5/2017,0:50:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z1,Nanotechnology,NULL,NULL,Ferst Drive @ State Street NW,33.778281,-84.399174,1
17040676,4/5/2017,14:00:00,4/5/2017,14:15:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z2,A French   30   Z2,237,NULL,Uncle Heinie Way NW,33.77293866,-84.39455331,1
17040711,4/10/2017,18:29:00,4/10/2017,19:30:00,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,PUB,Z2,NULL,NULL,NULL,NULL,33.771284,-84.387423,1
17040715,4/10/2017,20:30:00,4/11/2017,5:39:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAMRES,Z2,NAA East  191  Z2,120,NULL,"North Avenue, NW",33.76952,-84.39097,1
17040736,4/12/2017,9:00:00,4/13/2017,14:52:00,2902,Damage to Property � Private,Further Investigation,NULL,ONCAM,Z3,Klaus Advanced Computing Building   153   Z3,266,NULL,Ferst Drive NW,33.77716232,-84.39618136,1
17040753,4/15/2017,14:50:00,4/15/2017,15:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z1,NULL,NULL,NULL,NULL,NULL,NULL,1
17040762,4/14/2017,15:00:00,4/15/2017,11:00:00,2317,Larceny � Bicycle,Inactive,NULL,ONCAM,Z4,Woodruff Residence Hall,890,NULL,"Curran Street, NW",33.77910743,-84.40662487,1
17040773,4/19/2017,0:57:00,NULL,NULL,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,NONCAM,Z2,BP Gas,610,NULL,Spring Street NW,33.770969,-84.389392,1
17010001,1/3/2017,1:40:00,NULL,NULL,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z2,Montgomery Knight Building,270,NULL,Ferst Drive NW,33.77191256,-84.39607312,1
17010020,1/8/2017,20:30:00,1/8/2017,20:35:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z2,Clough Undergraduate Learning Center,266,NULL,"Fourth Street, NW",33.7746818,-84.39637939,1
17010093,1/15/2017,5:15:00,NULL,NULL,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z1,UA Whitaker Biomedical Engineering   165   Z1,313,NULL,"Ferst Drive,  NW",33.77848528,-84.39682437,1
17020191,1/1/2017,0:00:00,2/1/2017,14:00:00,2902,Damage to Property � Private,Further Investigation,NULL,ONCAM,Z1,Ford Envir. Science & Technology,311,NULL,"Ferst Drive, NW",33.77889662,-84.39603609,1
17020230,2/1/2017,10:00:00,2/6/2017,12:30:00,2205,Burglary � No Forced Entry �NonResidence,Inactive,NULL,ONCAM,Z2,Athletic Association Lot @ Bobby Dodd Way Lot   Z2,150,NULL,Bobby Dodd Way NW,NULL,NULL,1
17020235,2/7/2017,14:55:00,2/7/2017,14:55:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z2,Library   77   Z2,704,NULL,Cherry Street NW,33.77431732,-84.39572383,1
17020300,2/16/2017,0:47:00,2/16/2017,1:15:00,9999,Non-Crime (not reported to state),Closed/Cleared,Unfounded,ONCAMRES,Z2,Glenn Residence Hall,118,NULL,Bobby Dodd Way NW,NULL,NULL,1
17020302,2/15/2017,13:30:00,2/15/2017,13:30:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAMRES,Z2,Field Resident Hall,711,NULL,"Techwood Drive, NW",33.77895641,-84.40131466,1
17020320,2/18/2017,1:13:00,2/18/2017,1:38:00,4104,Liquor � Possession Of,Closed/Cleared,Prosecution Declined,ONCAM,Z1,Ford Envir. Science & Technology,311,NULL,Ferst Drive NW,NULL,NULL,1
17020322,2/18/2017,6:00:00,2/18/2017,7:14:00,2204,Burglary � No Forced Entry � Residence,Closed/Cleared,Prosecution Declined,ONCAMRES,Z2,NAA South  191  Z2,120,NULL,"North Avenue, NW",33.76932,-84.39182,1
17020340,2/19/2017,22:20:00,2/19/2017,22:25:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAMRES,Z2,Hanson Residence Hall,109,NULL,"Bobby Dodd Way, NW",NULL,NULL,1
17010017,1/6/2017,14:00:00,1/6/2017,21:15:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z1,Beringause Building,879,NULL,"Hemphill Avenue, NW",33.77895641,-84.40131466,1
17010154,1/25/2017,5:20:00,1/25/2017,19:30:00,2308,Larceny � From Building,Closed/Cleared,Unfounded,ONCAMRES,Z4,Fitten Residence Hall,855,NULL,"McMillan Street, NW",33.77822144,-84.40373472,1
17010174,1/28/2017,15:00:00,1/28/2017,16:47:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,PUB,Z4,"Northside Drive, NW and Tenth Street, NW",NULL,NULL,NULL,33.781583,-84.407442,1
17020203,2/2/2017,14:17:00,2/2/2017,14:19:00,9999W,NULL,Closed/Cleared,Cleared by Arrest,ONCAM,Z2,Barnes and Noble Bookstore,48,NULL,Fifth Street NW,33.77668,-84.38863,1
17020223,2/4/2017,21:06:00,NULL,NULL,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,NONCAM,OFFCAM,"Tenth Street, NW at Holly Street, NW",NULL,NULL,NULL,33.78153,-84.393571,1
17020243,2/8/2017,13:00:00,2/8/2017,13:09:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z1,Beringause Building   46   Z1,879,NULL,Hemphill Avenue NW,33.77895641,-84.40131466,1
17020266,2/10/2017,16:45:00,2/10/2017,17:10:00,2308,Larceny � From Building,Inactive,NULL,ONCAM,Z3,Boggs Building,770,NULL,State Street NW,33.77548051,-84.39974466,1
17020305,2/9/2017,21:30:00,2/10/2017,16:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAMRES,Z2,North Avenue Apartments East Building,120,NULL,North Avenue NW,33.77011984,-84.39135352,1
17020325,2/18/2017,15:20:00,2/18/2017,17:00:00,2699,Fraudulent Activity Offense Free ,Closed/Cleared,Cleared by Arrest,PUB,Z4,"Northside Drive, NW @ Western Avenue, NW",NULL,NULL,NULL,NULL,NULL,1
17020345,2/20/2017,11:05:00,2/20/2017,11:20:00,2199,Extortion Offense Free Text,Inactive,NULL,ONCAMRES,Z4,Fitten Residence Hall   119   Z4,855,NULL,"McMillan Street, NW",33.77822144,-84.40373472,1
17030486,3/11/2017,15:50:00,3/11/2017,15:56:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z4,Stamps Field,750,NULL,Ferst Drive NW,33.776854,-84.403665,1
17010032,1/10/2017,3:30:00,1/10/2017,17:37:00,2308,Larceny � From Building,Inactive,NULL,ONCAMRES,Z2,North Avenue Apartment East Building,120,NULL,"North Avenue, NW",33.76952,-84.39097,1
17010063,1/13/2017,11:45:00,1/13/2017,11:58:00,2205,Burglary � No Forced Entry �NonResidence,Closed/Cleared,Cleared by Arrest,ONCAM,Z2,Scheller College of Business   172   Z2,800,NULL,West Peachtree Street NW,33.77628053,-84.38801865,1
17010070,1/11/2017,16:00:00,1/12/2017,8:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z3,NULL,351,NULL,"Ferst Drive, NW",NULL,NULL,1
17010071,1/9/2017,12:00:00,1/9/2017,14:00:00,2308,Larceny � From Building,Inactive,NULL,ONCAM,Z1,Klaus Advanced Computing Building   153   Z3,266,NULL,"Ferst Drive, NW",33.77716232,-84.39618136,1
17010097,1/13/2017,16:00:00,1/17/2017,7:00:00,2902,Damage to Property � Private,Closed/Cleared,NULL,ONCAM,Z3,College of Architecture East   76   Z3,245,NULL,Fourth Street NW,33.77597531,-84.39538136,1
17010117,1/19/2017,21:12:00,NULL,NULL,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,NONCAM,OFFCAM,"Sixteenth Street, NW @ Northside Drive, NW",NULL,NULL,NULL,33.786249,-84.407383,1
17010182,1/30/2017,9:30:00,1/30/2017,15:15:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,PUB,Z2,"Fowler Street, NW @ Fourth Street, NW",NULL,NULL,NULL,33.77699,-84.393645,1
17020267,2/10/2017,17:45:00,NULL,NULL,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z4,Student Health Center,740,NULL,Ferst Drive NW,33.77483366,-84.40311079,1
17020352,2/21/2017,12:30:00,2/21/2017,12:45:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z2,Fifth Street Bridge   385   Z2,NULL,NULL,"Fifth Street,  NW @ I-75/85",33.776895,-84.390873,1
17020366,2/23/2017,4:56:00,2/23/2017,NULL,4104,Liquor � Possession Of,Closed/Cleared,Prosecution Declined,PUB,Z4,500 Block,500,NULL,Tenth Street,NULL,NULL,1
17020370,2/23/2017,16:30:00,NULL,NULL,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z2,NULL,NULL,NULL,Fifth Street @ Techwood Drive NW,33.776916,-84.39212,1
17020372,2/21/2017,22:00:00,2/23/2017,18:30:00,NULL,NULL,Further Investigation,NULL,ONCAM,Z4,Woodruff Lot,890,NULL,Curran Street NW,NULL,NULL,1
17020244,2/8/2017,11:16:00,2/8/2017,11:30:00,9999,Non-Crime (not reported to state),Further Investigation,NULL,ONCAM,Z3,NULL,301,NULL,"Ferst Drive, NW",33.77368657,-84.39821489,1
17020313,2/17/2017,14:50:00,2/17/2017,14:50:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z2,Library   77   Z2,704,NULL,Cherry Street NW,33.77431732,-84.39572383,1
17020358,2/22/2017,7:30:00,2/22/2017,7:35:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z2,Peters Parking Deck   8   Z2,749,NULL,Fowler Street NW,33.77497462,-84.3935274,1
17020378,2/24/2017,14:53:00,2/24/2017,14:53:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z2,Library   77   Z2,704,NULL,Cherry Street NW,33.77431732,-84.39572383,1
17030453,3/7/2017,6:00:00,3/7/2017,8:30:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z2,Office of Human Resources,500,NULL,"Tech Parkway,  NW",33.773412,-84.402622,1
17030473,3/9/2017,15:45:00,3/9/2017,16:00:00,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,PUB,Z1,"10th Street, NW @ State Street, NW",NULL,NULL,NULL,33.781541,-84.399159,1
17030485,3/11/2017,15:03:00,3/11/2017,15:59:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z1,Beringause Building   46   Z1,879,NULL,Hemphill Avenue NW,33.77895641,-84.40131466,1
17030490,3/12/2017,9:30:00,NULL,NULL,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAMRES,Z4,Eighth Street Apartments   130   Z4,555,NULL,Eighth Street NW,33.78012873,-84.40513865,1
