OCANumber,IncidentFromDate,IncidentFromTime,IncidentToDate,IncidentToTime,OffenseCode,Offense Description,CaseStatus,CaseDisposition,LocationCode,PatrolZone,LocationLandmark,LocationStreetNumber,LocationDirectional,LocationStreet,LocationLatitude,LocationLongitude,CreatedSource
15010014,01/04/2015,06:18:00,01/04/2015,07:01:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z2,Chiller Plant,460,NULL,"Tenth Street, NW",33.7815221348067,-84.4018548846458,1
15010017,01/05/2015,10:35:00,01/05/2015,10:35:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z2,Guggenheim Building,265,NULL,"North Avenue,  NW",33.771598504700002,-84.395782338299995,1
15010030,01/06/2015,00:49:00,NULL,NULL,5499,Traffic Offense (describe offense),Closed/Cleared,NULL,PUB,Z2,"North Avenue, NW / Tech Parkway, NW",NULL,NULL,NULL,NULL,NULL,1
15010084,01/14/2015,15:00:00,01/14/2015,15:38:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z4,Student Health Center   177   Z4,740,NULL,"Ferst Drive, NW",33.774833656299997,-84.403110789999999,1
15010087,01/13/2015,11:00:00,01/13/2015,11:30:00,2308,Larceny – From Building,Inactive,NULL,ONCAM,Z2,D.M Smith Building   24   Z2,685,NULL,"Cherry Street, NW",33.773645202700003,-84.395148047299998,1
15010102,01/18/2015,01:00:00,01/18/2015,01:45:00,8399,NULL,Closed/Cleared,NULL,ONCAMRES,Z2,North Avenue Apartments,120,NULL,"North Avenue, NW",NULL,NULL,1
15010142,01/25/2015,00:45:00,01/25/2015,02:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,Cleared by Arrest,PUB,Z1,"Fourteenth Street, NW at Snyder Street, NW",NULL,NULL,NULL,NULL,NULL,1
15020190,02/02/2015,13:41:00,02/02/2015,14:03:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z3,Mason Civil Engineering Building   111   Z3,790,NULL,Atlantic Drive NW,33.776561749899997,-84.398393382899997,1
15020205,02/05/2015,10:00:00,02/05/2015,11:45:00,5202,Carrying A Concealed Weapon,Inactive,NULL,ONCAM,Z4,Scheller College of Business   172   Z2,800,NULL,West Peachtree Street NW,33.776280525200001,-84.3880186544,1
15020212,02/01/2015,17:36:00,02/01/2015,17:48:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,PUB,Z4,"Tenth Street, NW @ Hemphill Avenue, NW",NULL,NULL,NULL,33.778956412500001,-84.401314659600004,1
15020225,02/09/2015,16:00:00,02/09/2015,16:40:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z1,Center for Assist Technology & Environmental Access,490,NULL,"Tenth Street, NW",NULL,NULL,1
15020241,02/11/2015,18:15:00,02/11/2015,21:45:00,2317,Larceny – Bicycle,Inactive,NULL,ONCAM,Z3,Love Manufacturing Building,771,NULL,"Ferst Drive, NW",33.778956412500001,-84.401314659600004,1
15010063,01/10/2015,10:25:00,01/10/2015,11:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z2,Burge Parking Deck,200,NULL,"North Avenue,  NW",33.770973725499999,-84.393940175400004,1
15010092,01/15/2015,21:52:00,01/15/2015,22:00:00,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,PUB,Z4,"Northside Drive, NW at Tenth Street, NW",NULL,NULL,NULL,NULL,NULL,1
15010105,01/18/2015,16:30:00,01/18/2015,16:30:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z2,North Avenue Apartments,120,NULL,North Avenue NW,33.770119840900001,-84.391353516400002,1
15010125,01/09/2015,14:08:00,01/09/2015,14:10:00,2308,Larceny – From Building,Inactive,NULL,ONCAM,Z2,Georgia Tech Hotel & Conference Center   171  Z2,800,NULL,Spring Street NW,33.776343252300002,-84.389307920199997,1
15010133,01/22/2015,23:05:00,01/22/2015,23:30:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z4,Campus Recreation Center,750,NULL,Ferst Drive NW,33.775464005800004,-84.403499012599994,1
15010145,01/25/2015,21:14:00,01/25/2015,21:21:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAMRES,Z4,Fulmer Residence Hall,871,NULL,"McMillan Street, NW",33.778647731100001,-84.403883816000004,1
15010152,01/26/2015,13:16:00,01/26/2015,13:35:00,2902,Damage to Property – Private,Inactive,NULL,ONCAM,Z2,North Avenue Apartments  Parking Deck,120,NULL,North Avenue NW,33.770119840900001,-84.391353516400002,1
15020186,01/31/2015,21:30:00,02/01/2015,12:30:00,2903,Damage to Property – Public,Closed/Cleared,NULL,ONCAM,Z1,Eighth Street @ Fowler Street,NULL,NULL,NULL,NULL,NULL,1
15020193,02/03/2015,07:35:00,02/03/2015,08:05:00,5707,Criminal Trespass,Closed/Cleared,Cleared by Arrest,ONCAM,Z2,Van Leer Electrical Engineering Building   85  Z3,777,NULL,"Atlantic Drive, NW",33.775855911500003,-84.397170809100004,1
15020200,02/04/2015,17:38:00,02/04/2015,20:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,NONCLERY,OFFCAM,"1064 Atlantic Drive, NW",NULL,NULL,NULL,NULL,NULL,1
15020206,02/05/2015,11:53:00,02/05/2015,12:20:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAMRES,Z1,Graduate Living Center   52  Z1,301,NULL,Tenth Street NW,33.7819574437,-84.3966056648,1
15010006,01/02/2015,17:23:00,01/02/2015,17:35:00,2308,Larceny – From Building,Inactive,NULL,ONCAM,Z2,Barnes and Noble Bookstore,48,NULL,"Fifth Street, NW",NULL,NULL,1
15010010,01/03/2015,09:00:00,01/03/2015,18:30:00,2204,Burglary – No Forced Entry – Residence,Inactive,NULL,ONCAMRES,Z1,Alpha Xi Delta Sorority   322   Z1,847,NULL,Techwood Drive NW,33.7778526906,-84.391822458099995,1
15010026,01/05/2015,06:45:00,01/05/2015,17:30:00,2308,Larceny – From Building,Inactive,NULL,ONCAMRES,Z4,Armstrong Residence Hall   108   Z4,498,NULL,Eighth Street NW,33.779144217199999,-84.4035824555,1
15010034,01/06/2015,11:38:00,NULL,NULL,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,PUB,Z4,"Tech Parkway, NW and Northside Drive, NW",NULL,NULL,NULL,NULL,NULL,1
15010037,01/06/2015,08:00:00,01/06/2015,19:06:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAMRES,Z4,Undergraduate Living Center,580,NULL,"Turner Place, NW",33.778174184100003,-84.405482175900005,1
15010046,01/07/2015,15:00:00,NULL,NULL,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,NULL,Georgia Tech Hotel,NULL,NULL,NULL,33.778956412500001,-84.401314659600004,1
15010049,01/07/2015,19:45:00,01/08/2015,08:30:00,2399,Larceny Offense Free Text,Inactive,NULL,ONCAM,Z1,Rocky Mountain Pizza,1005,NULL,Hemphill Avenue,33.778956412500001,-84.401314659600004,1
15010080,01/13/2015,10:58:00,01/13/2015,10:58:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z1,Beringause Building,879,NULL,"Hemphill Avenue, NW",33.778956412500001,-84.401314659600004,1
15010096,01/17/2015,01:35:00,01/17/2015,02:00:00,4104,Liquor – Possession Of,Closed/Cleared,Prosecution Declined,ONCAMRES,Z4,Hefner Residence Hall   107   Z4,510,NULL,Eighth Street NW,33.779148858600003,-84.403943568499997,1
15010099,01/17/2015,17:20:00,01/17/2015,17:20:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z2,Peters Parking Deck   8   Z2,749,NULL,Fowler Street NW,33.774974616999998,-84.393527398299995,1
15010148,01/26/2015,03:44:00,01/26/2015,04:30:00,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,PUB,Z1,"Fourteenth Street, NW at Techwood Drive, NW",NULL,NULL,NULL,NULL,NULL,1
15010012,01/03/2015,21:00:00,01/03/2015,21:10:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,NONCAM,Z2,Technology Square Research Bldg,85,NULL,Fifth Street NW,33.777373435599998,-84.390096068700004,1
15010106,01/18/2015,17:39:00,01/18/2015,20:00:00,4803,Making A False Report/Giving False Information,Closed/Cleared,Cleared by Arrest,ONCAM,Z2,North Avenue Apartments Recreation Center,120,NULL,"North Avenue, NW",33.770119840900001,-84.391353516400002,1
15010107,01/18/2015,21:40:00,01/18/2015,21:40:00,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,NONCLERY,Z2,"North Avenue, NW @ Spring Street, NW",NULL,NULL,NULL,NULL,NULL,1
15010115,01/19/2015,23:00:00,01/19/2015,23:06:00,2317,Larceny – Bicycle,Closed/Cleared,Cleared by Arrest,ONCAM,Z4,Campus Recreation Center,750,NULL,"Ferst Drive, NW",33.775464005800004,-84.403499012599994,1
15010126,01/21/2015,19:15:00,01/21/2015,19:15:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z3,Student Center   104   Z3,351,NULL,Ferst Drive NW,33.7741360837,-84.398818020899995,1
15010127,01/19/2015,21:00:00,01/21/2015,07:00:00,2317,Larceny – Bicycle,Inactive,NULL,ONCAM,Z2,Towers Residence Hall,112,NULL,Bobby Dodd Way NW,33.773432325900004,-84.391000115200001,1
15010147,01/26/2015,02:22:00,01/26/2015,02:50:00,3562,Marijuana – Possession of,Closed/Cleared,Prosecution Declined,ONCAMRES,Z2,North Avenue Apartments,120,NULL,"North Avenue, NW",NULL,NULL,1
15010164,01/28/2015,00:30:00,01/28/2015,00:35:00,2305,Larceny – Articles from Vehicle,Inactive,NULL,ONCAM,Z2,Technology Square Parking Deck 174  Z2,770,NULL,Spring Street NW,33.775586617599998,-84.389475466600004,1
15020183,01/31/2015,23:59:00,02/01/2015,12:15:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAMRES,Z2,Smith Residence Hall   6   Z2,630,NULL,Williams Street NW,33.771707325999998,-84.3912515496,1
15020184,02/01/2015,09:34:00,02/01/2015,09:55:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z3,Mason Civil Engineering Building   111   Z3,790,NULL,Atlantic Drive NW,33.776561749899997,-84.398393382899997,1
15020187,02/01/2015,17:23:00,02/01/2015,17:37:00,3562,Marijuana – Possession of,Closed/Cleared,Prosecution Declined,ONCAMRES,Z2,Smith Residence Hall,630,NULL,Williams Street NW,33.771707325999998,-84.3912515496,1
15010051,01/08/2015,13:45:00,01/08/2015,14:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z2,NULL,828,NULL,West Peachtree St. NW,NULL,NULL,1
15010054,01/09/2015,15:05:00,01/09/2015,16:30:00,9999W,NULL,Closed/Cleared,Cleared by Arrest,PUB,Z2,"Fifith Street, NW at West Peachtree Street, NW",NULL,NULL,NULL,33.776280525200001,-84.3880186544,1
15010055,01/09/2015,05:23:00,01/09/2015,15:57:00,5309,Harassing Communication,Inactive,NULL,ONCAMRES,Z4,Eighth Street Apartments   130   Z4,555,NULL,"Eighth Street, NW",33.780128725799997,-84.405138647100003,1
15010058,01/09/2015,20:44:00,01/09/2015,21:30:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z2,Bobby Dodd Stadium,157,NULL,"North Avenue, NW",33.772728588299998,-84.392781230799997,1
15010074,01/10/2015,10:00:00,01/11/2015,20:15:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,NONCAM,Z2,Lambda Chi Alpha Fraternity,792,NULL,Techwood Drive NW,33.776259756400002,-84.392381878699993,1
15010077,01/12/2015,21:20:00,01/12/2015,21:35:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAMRES,Z4,Hefner Residence Hall   107   Z4,510,NULL,Eighth Street NW,NULL,NULL,1
15010104,01/18/2015,15:29:00,01/18/2015,16:15:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z4,Technology Enterprise Park,387,NULL,Northyards Boulevard,NULL,NULL,1
15010119,01/20/2015,15:20:00,01/20/2015,17:15:00,2308,Larceny – From Building,Inactive,NULL,ONCAM,Z4,Campus Recreation Center,750,NULL,"Ferst Drive, NW",33.775464005800004,-84.403499012599994,1
15010124,01/20/2015,20:00:00,01/21/2015,12:25:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z3,Manufacturing Rel. Disc. Complex (MRDC)   135  Z3,801,NULL,"Ferst Drive, NW",33.776967917900002,-84.400502691,1
15010144,01/25/2015,17:23:00,01/25/2015,17:45:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAMRES,Z2,Smith Residence Hall   6   Z2,630,NULL,"Williams Street, NW",33.771707325999998,-84.3912515496,1
15020203,01/30/2015,16:00:00,02/03/2015,16:00:00,2314,Larceny – Of Government Property,Inactive,NULL,ONCAM,Z1,Golf Practice Facility,525,NULL,Fourteenth Street NW,33.7872308,-84.4042708,1
15020217,02/07/2015,01:18:00,02/07/2015,01:23:00,2901,Damage to Property – Business,Closed/Cleared,Prosecution Declined,ONCAMRES,Z4,"Eighth Street Apartments, West Building",555,NULL,"Eighth Street,  NW",33.780128725799997,-84.405138647100003,1
15020220,02/08/2015,14:43:00,NULL,NULL,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAMRES,Z4,Maulding Residence Hall,501,NULL,"Sixth Street, NW",33.7775271012,-84.4048025102,1
15020226,02/09/2015,12:45:00,02/09/2015,17:11:00,2305,Larceny – Articles from Vehicle,Inactive,NULL,ONCAM,Z2,Guggenheim Building,265,NULL,"North Avenue, NW",33.771598504700002,-84.395782338299995,1
15020230,02/10/2015,NULL,NULL,NULL,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,OFFCAM,Beringause Building   46   Z1,879,NULL,"Hemphill Avenue, NW",33.778956412500001,-84.401314659600004,1
15020246,02/12/2015,14:06:00,NULL,NULL,9999,Non-Crime (not reported to state),Inactive,NULL,ONCAMRES,Z1,Cloudman Residence Hall,661,NULL,"Techwood Drive, NW",33.772797287899998,-84.391622187999999,1
15020251,02/13/2015,06:15:00,NULL,NULL,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z3,Instructional Center   55   Z3,759,NULL,Ferst Drive NW,33.775444563000001,-84.401297829499995,1
15020255,02/13/2015,15:30:00,02/13/2015,17:45:00,2308,Larceny – From Building,Inactive,NULL,ONCAM,Z4,Campus Recreation Center   160   Z4,750,NULL,Ferst Drive NW,33.775464005800004,-84.403499012599994,1
15020271,02/16/2015,12:00:00,02/16/2015,12:20:00,9999F,NULL,Closed/Cleared,NULL,NONCAM,Z2,Sigma Nu Fraternity,750,NULL,"Fowler Street, NW",33.7750811266,-84.394324879300001,1
15020284,02/18/2015,06:00:00,02/18/2015,16:00:00,2901,Damage to Property – Business,Inactive,NULL,ONCAM,Z2,Guggenheim Building,265,NULL,"North Avenue, NW",33.771912556799997,-84.3960731154,1
15020296,02/22/2015,22:35:00,02/22/2015,23:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAMRES,Z2,North Avenue Apartments South Building,120,NULL,"North Avenue, NW",33.770119840900001,-84.391353516400002,1
15020306,02/23/2015,21:13:00,02/23/2015,21:41:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z3,Stamps Student Center Commons  114  Z3,301,NULL,Ferst Drive NW,33.773686572800003,-84.3982148873,1
15020336,02/27/2015,20:25:00,02/27/2015,20:50:00,2308,Larceny – From Building,Inactive,NULL,ONCAM,Z3,Ferst Center for the Arts,349,NULL,Ferst Drive NW,33.775100532400003,-84.399212086999995,1
15010150,01/26/2015,06:52:00,01/26/2015,07:20:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAMRES,Z4,Armstrong Residence Hall   108   Z4,498,NULL,Eighth Street NW,33.779144217199999,-84.4035824555,1
15010153,01/26/2015,14:36:00,01/26/2015,14:36:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z2,Global Learning Center,84,NULL,"Fifth Street, NW",33.776329337999996,-84.389951850599999,1
15020202,02/05/2015,09:00:00,02/05/2015,09:40:00,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,PUB,Z2,"North Avenue, NW @ Centennial Olympic Park Drive, NW",NULL,NULL,NULL,NULL,NULL,1
15020222,02/09/2015,00:00:00,02/09/2015,00:20:00,8399,NULL,Closed/Cleared,NULL,ONCAM,Z4,Campus Recreation Center,750,NULL,"Ferst Drive, NW",33.775464005800004,-84.403499012599994,1
15020232,02/10/2015,02:00:00,02/10/2015,12:00:00,2308,Larceny – From Building,Closed/Cleared,Prosecution Declined,ONCAMRES,Z2,Towers Residence Hall,112,NULL,"Bobby Dodd Way, NW",33.773432325900004,-84.391000115200001,1
15020239,02/11/2015,20:00:00,02/11/2015,21:00:00,5404,Driving Under the Influence of Alcohol,Closed/Cleared,Cleared by Arrest,ONCAM,Z2,"Techwood Drive, NW between North Avenue, NW and Bobby Dodd Way, NW",NULL,NULL,NULL,NULL,NULL,1
15020258,02/14/2015,01:35:00,02/14/2015,02:10:00,4104,Liquor – Possession Of,Closed/Cleared,Prosecution Declined,ONCAMRES,Z2,North Avenue Apartments North,120,NULL,North Avenue NW,33.770119840900001,-84.391353516400002,1
15020311,02/24/2015,20:16:00,02/24/2015,20:57:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,PUB,Z2,North Avenue Apartments,120,NULL,North Avenue NW,33.770119840900001,-84.391353516400002,1
15020317,02/25/2015,01:30:00,NULL,NULL,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z4,Curran Parking Deck,875,NULL,"Curran Street, NW",33.778956412500001,-84.401314659600004,1
15020318,02/25/2015,14:15:00,NULL,NULL,2308,Larceny – From Building,Closed/Cleared,Unfounded,ONCAMRES,Z4,Field Residence Hall   90   Z2,711,NULL,Techwood Drive NW,33.774209246700003,-84.391650793500006,1
15030382,03/05/2015,08:00:00,03/05/2015,16:10:00,2902,Damage to Property – Private,Inactive,NULL,ONCAM,Z2,Technology Square Parking Deck,770,NULL,Spring Street NW,33.775586617599998,-84.389475466600004,1
15020216,02/06/2015,17:32:00,NULL,NULL,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z2,Clough Undergraduate Learning Center,266,NULL,"Fourth Street, NW",33.774681795699998,-84.396379388400007,1
15020286,02/04/2015,06:00:00,02/19/2015,15:32:00,2308,Larceny – From Building,Inactive,NULL,ONCAMRES,Z2,North Avenue Apartments,120,NULL,North Avenue NW,33.770119840900001,-84.391353516400002,1
15030346,03/01/2015,01:58:00,03/01/2015,02:23:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z2,Success Center,219,NULL,Uncle Heinie Way NW,33.772441108400002,-84.393952014000007,1
15030396,03/08/2015,00:30:00,03/08/2015,01:30:00,1313,Simple Assault/Battery,Closed/Cleared,Prosecution Declined,PUB,Z2,"Bobby Dodd Way, NW & Brittain Drive, NW",NULL,NULL,NULL,33.774974616999998,-84.393527398299995,1
15030417,03/11/2015,23:44:00,03/11/2015,23:44:00,2803,Theft by Receiving Stolen Property,Closed/Cleared,Prosecution Declined,NONCLERY,OFFCAM,"West Peachtree Street, NW at 7th Street, NW",NULL,NULL,NULL,NULL,NULL,1
15030452,03/16/2015,15:20:00,NULL,NULL,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z4,Campus Recreational Center,350,NULL,"Ferst Drive, NW",NULL,NULL,1
15030504,03/26/2015,21:45:00,03/26/2015,21:55:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z2,"Fifth Street, NW on the bridge",NULL,NULL,NULL,NULL,NULL,1
15030524,03/30/2015,08:00:00,03/30/2015,17:36:00,2305,Larceny – Articles from Vehicle,Inactive,NULL,PUB,Z4,NARA Tech Way Building  136,505,NULL,"Lambert Street, NW",33.770985707599998,-84.402661201000001,1
15030530,03/31/2015,19:29:00,03/31/2015,19:53:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z4,Campus Recreation Center,750,NULL,"Ferst Drive, NW",33.775464005800004,-84.403499012599994,1
15040551,04/04/2015,18:00:00,NULL,NULL,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,PUB,Z1,"Holly Street, NW / Tenth Street, NW",NULL,NULL,NULL,NULL,NULL,1
15040583,04/08/2015,16:30:00,04/08/2015,18:40:00,2308,Larceny – From Building,Inactive,NULL,ONCAM,Z4,Campus Recreation Center   160   Z4,750,NULL,Ferst Drive NW,33.7754640058,-84.4034990126,1
15040620,04/13/2015,00:53:00,04/13/2015,01:20:00,9999W,NULL,Closed/Cleared,Cleared by Arrest,ONCAM,Z1,Ferst Drvie at Fowler Street,NULL,NULL,NULL,NULL,NULL,1
15020223,02/09/2015,07:55:00,02/09/2015,08:42:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z4,Administration (Tech Tower)  35   Z2,225,NULL,North Avenue NW,33.772485855900001,-84.394677213400001,1
15020243,02/11/2015,15:30:00,02/12/2015,07:00:00,2903,Damage to Property – Public,Inactive,NULL,ONCAM,Z4,Lanscape Services Lot,890,NULL,"Curran Street, NW",33.7791074274,-84.406624872899997,1
15020262,02/14/2015,13:37:00,02/14/2015,14:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z4,Campus Recreation Center   160   Z4,750,NULL,Ferst Drive NW,33.775464005800004,-84.403499012599994,1
15020279,02/18/2015,09:00:00,02/18/2015,15:30:00,2305,Larceny – Articles from Vehicle,Inactive,NULL,NONCAM,Z4,Grinnell Building,645,NULL,"Northside Drive, NW",NULL,NULL,1
15020287,02/20/2015,11:45:00,02/20/2015,14:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z2,Cloudman Residence Hall,661,NULL,"Techwood Drive, NW",33.773432325900004,-84.391000115200001,1
15020293,02/22/2015,15:42:00,02/22/2015,22:00:00,2317,Larceny – Bicycle,Inactive,NULL,ONCAM,Z4,Hefner Residence Hall,510,NULL,"Eighth Street,  NW",33.779148858600003,-84.403943568499997,1
15020294,02/22/2015,17:30:00,02/22/2015,18:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAMRES,Z2,North Avenue Apartments East Building,120,NULL,"North Avenue, NW",33.770119840900001,-84.391353516400002,1
15020314,02/25/2015,03:50:00,02/25/2015,03:50:00,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,PUB,Z2,"Centennial Olympic Park Drive,NW at  Merritts Avenue, NW",NULL,NULL,NULL,NULL,NULL,1
15020339,02/28/2015,03:57:00,02/28/2015,03:57:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,PUB,Z3,Beringause Building   46   Z1,879,NULL,Hemphill Avenue NW,33.778956412500001,-84.401314659600004,1
15030390,03/06/2015,14:45:00,03/06/2015,17:20:00,2434,Theft of Other Vehicle,Inactive,NULL,ONCAM,Z4,Student Center,351,NULL,"Ferst Drive, NW",33.7733541351,-84.402640644499996,1
15030455,03/17/2015,11:43:00,03/17/2015,NULL,9999,Non-Crime (not reported to state),Inactive,NULL,ONCAM,Z2,Weber Building,281,NULL,"Fesrt Drive, NW",NULL,NULL,1
15030475,03/21/2015,15:05:00,03/21/2015,16:15:00,5499,Traffic Offense (describe offense),Closed/Cleared,Prosecution Declined,PUB,Z4,"Tech Parkway, NW",NULL,NULL,NULL,NULL,NULL,1
15020253,02/11/2015,22:00:00,02/12/2015,01:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z4,Clough Undergraduate Learning Center,266,NULL,"Fourth Street, NW",33.778956412500001,-84.401314659600004,1
15020254,02/13/2015,16:25:00,02/13/2015,16:30:00,9999F,NULL,Inactive,NULL,ONCAM,Z4,Burger Bowl,814,NULL,"Ferst Drive, NW",33.777599309800003,-84.401342849200006,1
15020274,02/17/2015,11:51:00,NULL,NULL,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z4,Campus Recreation Center,750,NULL,"Ferst Drive,  NW",33.7754640058,-84.4034990126,1
15020289,02/18/2015,08:30:00,02/21/2015,11:30:00,2317,Larceny – Bicycle,Inactive,NULL,ONCAM,Z1,Family Apartments   180   Z1,251,NULL,"Tenth Street, NW",33.782380022799998,-84.395955559699999,1
15020295,02/22/2015,20:20:00,02/22/2015,21:30:00,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,NONCAM,Z4,"Northside Drive, NW & North Avenue, NW",NULL,NULL,NULL,NULL,NULL,1
15020308,02/24/2015,08:00:00,02/24/2015,13:00:00,2308,Larceny – From Building,Closed/Cleared,Cleared by Arrest,ONCAMRES,Z2,North Avenue Apartments South Building  191  Z2,120,NULL,"North Avenue, NW",33.770119840900001,-84.391353516400002,1
15020320,02/26/2015,02:00:00,02/26/2015,02:30:00,3542,Synthetic Narcotic – Possession of,Closed/Cleared,Cleared by Arrest,ONCAMRES,Z4,Fitten Residence Hall,855,NULL,"McMillan Street, NW",NULL,NULL,1
15020321,01/10/2015,15:00:00,02/19/2015,15:00:00,2314,Larceny – Of Government Property,Inactive,NULL,ONCAM,Z3,Howey Physics Building,800,NULL,"Atlantic Drive, NW",33.7774229491,-84.398467142599998,1
15020322,02/20/2015,21:00:00,02/20/2015,NULL,2399,Larceny Offense Free Text,Closed/Cleared,Unfounded,ONCAM,Z4,Stamps Field,750,NULL,"Ferst Drive, NW",33.775464005800004,-84.403499012599994,1
15020328,02/27/2015,10:30:00,02/27/2015,12:24:00,9999,Non-Crime (not reported to state),Inactive,NULL,ONCAM,Z1,Howey Physics Building,800,NULL,"Atlantic Drive, NW",33.778956412500001,-84.401314659600004,1
15020331,02/27/2015,13:30:00,02/27/2015,14:47:00,2308,Larceny – From Building,Inactive,NULL,ONCAM,Z4,Campus Recreation Center,750,NULL,"Ferst Drive, NW",33.775464005800004,-84.403499012599994,1
15030354,01/01/2015,12:00:00,02/16/2015,13:18:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z2,Folk Residence Hall,531,NULL,"Turner Place,  NW",33.774681795699998,-84.396379388400007,1
15030357,03/03/2015,04:10:00,03/03/2015,04:15:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z3,Ferst Center for the Arts,349,NULL,"Ferst Drive, NW",33.778956412500001,-84.401314659600004,1
15030374,03/04/2015,16:00:00,03/04/2015,16:30:00,2305,Larceny – Articles from Vehicle,Inactive,NULL,ONCAM,Z2,Peters Parking Deck   8   Z2,749,NULL,Fowler Street NW,33.774974616999998,-84.393527398299995,1
15030377,03/05/2015,11:22:00,NULL,NULL,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,PUB,Z4,"North Avenue, NW @ State Street, NW",NULL,NULL,NULL,33.7717972813,-84.4061026284,1
15030380,03/05/2015,13:15:00,03/05/2015,13:30:00,2305,Larceny – Articles from Vehicle,Closed/Cleared,Cleared by Arrest,ONCAM,Z1,Peters Parking Deck   8   Z2,749,NULL,Fowler Street NW,33.774974616999998,-84.393527398299995,1
15030385,03/06/2015,00:50:00,03/06/2015,01:05:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAMRES,Z4,Caldwell Residence Hall,521,NULL,Turner Place NW,33.7789095961,-84.404411881100003,1
15030410,03/10/2015,00:04:00,03/10/2015,01:06:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAMRES,Z2,North Avenue Apartments  191  Z2,120,NULL,North Avenue NW,33.770119840900001,-84.391353516400002,1
